#,emoji,unicode,name
1268,🔫,U+1F52B,water pistol
1269,🪃,U+1FA83,boomerang
1270,🏹,U+1F3F9,bow and arrow
1271,🛡,U+1F6E1,shield
1272,🪚,U+1FA9A,carpentry saw
1273,🔧,U+1F527,wrench
1274,🪛,U+1FA9B,screwdriver
1275,🔩,U+1F529,nut and bolt
1276,⚙,U+2699,gear
1277,🗜,U+1F5DC,clamp
1278,⚖,U+2696,balance scale
1279,🦯,U+1F9AF,white cane
1280,🔗,U+1F517,link
1281,⛓,U+26D3,chains
1282,🪝,U+1FA9D,hook
1283,🧰,U+1F9F0,toolbox
1284,🧲,U+1F9F2,magnet
1285,🪜,U+1FA9C,ladder
1286,⚗,U+2697,alembic
1287,🧪,U+1F9EA,test tube
1288,🧫,U+1F9EB,petri dish
1289,🧬,U+1F9EC,dna
1290,🔬,U+1F52C,microscope
1291,🔭,U+1F52D,telescope
1292,📡,U+1F4E1,satellite antenna
1293,💉,U+1F489,syringe
1294,🩸,U+1FA78,drop of blood
1295,💊,U+1F48A,pill
1296,🩹,U+1FA79,adhesive bandage
1297,🩺,U+1FA7A,stethoscope
1298,🚪,U+1F6AA,door
1299,🛗,U+1F6D7,elevator
1300,🪞,U+1FA9E,mirror
1301,🪟,U+1FA9F,window
1302,🛏,U+1F6CF,bed
1303,🛋,U+1F6CB,couch and lamp
1304,🪑,U+1FA91,chair
1305,🚽,U+1F6BD,toilet
1306,🪠,U+1FAA0,plunger
1307,🚿,U+1F6BF,shower
1308,🛁,U+1F6C1,bathtub
1309,🪤,U+1FAA4,mouse trap
1310,🪒,U+1FA92,razor
1311,🧴,U+1F9F4,lotion bottle
1312,🧷,U+1F9F7,safety pin
1313,🧹,U+1F9F9,broom
1314,🧺,U+1F9FA,basket
1315,🧻,U+1F9FB,roll of paper
1316,🪣,U+1FAA3,bucket
1317,🧼,U+1F9FC,soap
1318,🪥,U+1FAA5,toothbrush
1319,🧽,U+1F9FD,sponge
1320,🧯,U+1F9EF,fire extinguisher
1321,🛒,U+1F6D2,shopping cart
1322,🚬,U+1F6AC,cigarette
1323,⚰,U+26B0,coffin
1324,🪦,U+1FAA6,headstone
1325,⚱,U+26B1,funeral urn
1326,🗿,U+1F5FF,moai
1327,🪧,U+1FAA7,placard
1328,🏧,U+1F3E7,ATM sign
1329,🚮,U+1F6AE,litter in bin sign
1330,🚰,U+1F6B0,potable water
1331,♿,U+267F,wheelchair symbol
1332,🚹,U+1F6B9,men’s room
1333,🚺,U+1F6BA,women’s room
1334,🚻,U+1F6BB,restroom
1335,🚼,U+1F6BC,baby symbol
1336,🚾,U+1F6BE,water closet
1337,🛂,U+1F6C2,passport control
1338,🛃,U+1F6C3,customs
1339,🛄,U+1F6C4,baggage claim
1340,🛅,U+1F6C5,left luggage
1341,⚠,U+26A0,warning
1342,🚸,U+1F6B8,children crossing
1343,⛔,U+26D4,no entry
1344,🚫,U+1F6AB,prohibited
1345,🚳,U+1F6B3,no bicycles
1346,🚭,U+1F6AD,no smoking
1347,🚯,U+1F6AF,no littering
1348,🚱,U+1F6B1,non-potable water
1349,🚷,U+1F6B7,no pedestrians
1350,📵,U+1F4F5,no mobile phones
1351,🔞,U+1F51E,no one under eighteen
1352,☢,U+2622,radioactive
1353,☣,U+2623,biohazard
1354,⬆,U+2B06,up arrow
1355,↗,U+2197,up-right arrow
1356,➡,U+27A1,right arrow
1357,↘,U+2198,down-right arrow
1358,⬇,U+2B07,down arrow
1359,↙,U+2199,down-left arrow
1360,⬅,U+2B05,left arrow
1361,↖,U+2196,up-left arrow
1362,↕,U+2195,up-down arrow
1363,↔,U+2194,left-right arrow
1364,↩,U+21A9,right arrow curving left
1365,↪,U+21AA,left arrow curving right
1366,⤴,U+2934,right arrow curving up
1367,⤵,U+2935,right arrow curving down
1368,🔃,U+1F503,clockwise vertical arrows
1369,🔄,U+1F504,counterclockwise arrows button
1370,🔙,U+1F519,BACK arrow
1371,🔚,U+1F51A,END arrow
1372,🔛,U+1F51B,ON! arrow
1373,🔜,U+1F51C,SOON arrow
1374,🔝,U+1F51D,TOP arrow
1375,🛐,U+1F6D0,place of worship
1376,⚛,U+269B,atom symbol
1377,🕉,U+1F549,om
1378,✡,U+2721,star of David
1379,☸,U+2638,wheel of dharma
1380,☯,U+262F,yin yang
1381,✝,U+271D,latin cross
1382,☦,U+2626,orthodox cross
1383,☪,U+262A,star and crescent
1384,☮,U+262E,peace symbol
1385,🕎,U+1F54E,menorah
1386,🔯,U+1F52F,dotted six-pointed star
1387,♈,U+2648,Aries
1388,♉,U+2649,Taurus
1389,♊,U+264A,Gemini
1390,♋,U+264B,Cancer
1391,♌,U+264C,Leo
1392,♍,U+264D,Virgo
1393,♎,U+264E,Libra
1394,♏,U+264F,Scorpio
1395,♐,U+2650,Sagittarius
1396,♑,U+2651,Capricorn
1397,♒,U+2652,Aquarius
1398,♓,U+2653,Pisces
1399,⛎,U+26CE,Ophiuchus
1400,🔀,U+1F500,shuffle tracks button
1401,🔁,U+1F501,repeat button
1402,🔂,U+1F502,repeat single button
1403,▶,U+25B6,play button
1404,⏩,U+23E9,fast-forward button
1405,⏭,U+23ED,next track button
1406,⏯,U+23EF,play or pause button
1407,◀,U+25C0,reverse button
1408,⏪,U+23EA,fast reverse button
1409,⏮,U+23EE,last track button
1410,🔼,U+1F53C,upwards button
1411,⏫,U+23EB,fast up button
1412,🔽,U+1F53D,downwards button
1413,⏬,U+23EC,fast down button
1414,⏸,U+23F8,pause button
1415,⏹,U+23F9,stop button
1416,⏺,U+23FA,record button
1417,⏏,U+23CF,eject button
1418,🎦,U+1F3A6,cinema
1419,🔅,U+1F505,dim button
1420,🔆,U+1F506,bright button
1421,📶,U+1F4F6,antenna bars
1422,📳,U+1F4F3,vibration mode
1423,📴,U+1F4F4,mobile phone off
1424,♀,U+2640,female sign
1425,♂,U+2642,male sign
1426,⚧,U+26A7,transgender symbol
1427,✖,U+2716,multiply
1428,➕,U+2795,plus
1429,➖,U+2796,minus
1430,➗,U+2797,divide
1431,♾,U+267E,infinity
1432,‼,U+203C,double exclamation mark
1433,⁉,U+2049,exclamation question mark
1434,❓,U+2753,red question mark
1435,❔,U+2754,white question mark
1436,❕,U+2755,white exclamation mark
1437,❗,U+2757,red exclamation mark
1438,〰,U+3030,wavy dash
1439,💱,U+1F4B1,currency exchange
1440,💲,U+1F4B2,heavy dollar sign
1441,⚕,U+2695,medical symbol
1442,♻,U+267B,recycling symbol
1443,⚜,U+269C,fleur-de-lis
1444,🔱,U+1F531,trident emblem
1445,📛,U+1F4DB,name badge
1446,🔰,U+1F530,Japanese symbol for beginner
1447,⭕,U+2B55,hollow red circle
1448,✅,U+2705,check mark button
1449,☑,U+2611,check box with check
1450,✔,U+2714,check mark
1451,❌,U+274C,cross mark
1452,❎,U+274E,cross mark button
1453,➰,U+27B0,curly loop
1454,➿,U+27BF,double curly loop
1455,〽,U+303D,part alternation mark
1456,✳,U+2733,eight-spoked asterisk
1457,✴,U+2734,eight-pointed star
1458,❇,U+2747,sparkle
1459,©,U+00A9,copyright
1460,®,U+00AE,registered
1461,™,U+2122,trade mark
1462,#️⃣,U+0023 U+FE0F U+20E3,keycap: #
1463,*️⃣,U+002A U+FE0F U+20E3,keycap: *
1464,0️⃣,U+0030 U+FE0F U+20E3,keycap: 0
1465,1️⃣,U+0031 U+FE0F U+20E3,keycap: 1
1466,2️⃣,U+0032 U+FE0F U+20E3,keycap: 2
1467,3️⃣,U+0033 U+FE0F U+20E3,keycap: 3
1468,4️⃣,U+0034 U+FE0F U+20E3,keycap: 4
1469,5️⃣,U+0035 U+FE0F U+20E3,keycap: 5
1470,6️⃣,U+0036 U+FE0F U+20E3,keycap: 6
1471,7️⃣,U+0037 U+FE0F U+20E3,keycap: 7
1472,8️⃣,U+0038 U+FE0F U+20E3,keycap: 8
1473,9️⃣,U+0039 U+FE0F U+20E3,keycap: 9
1474,🔟,U+1F51F,keycap: 10
1475,🔠,U+1F520,input latin uppercase
1476,🔡,U+1F521,input latin lowercase
1477,🔢,U+1F522,input numbers
1478,🔣,U+1F523,input symbols
1479,🔤,U+1F524,input latin letters
1480,🅰,U+1F170,A button (blood type)
1481,🆎,U+1F18E,AB button (blood type)
1482,🅱,U+1F171,B button (blood type)
1483,🆑,U+1F191,CL button
1484,🆒,U+1F192,COOL button
1485,🆓,U+1F193,FREE button
1486,ℹ,U+2139,information
1487,🆔,U+1F194,ID button
1488,Ⓜ,U+24C2,circled M
1489,🆕,U+1F195,NEW button
1490,🆖,U+1F196,NG button
1491,🅾,U+1F17E,O button (blood type)
1492,🆗,U+1F197,OK button
1493,🅿,U+1F17F,P button
1494,🆘,U+1F198,SOS button
1495,🆙,U+1F199,UP! button
1496,🆚,U+1F19A,VS button
1497,🈁,U+1F201,Japanese “here” button
1498,🈂,U+1F202,Japanese “service charge” button
1499,🈷,U+1F237,Japanese “monthly amount” button
1500,🈶,U+1F236,Japanese “not free of charge” button
1501,🈯,U+1F22F,Japanese “reserved” button
1502,🉐,U+1F250,Japanese “bargain” button
1503,🈹,U+1F239,Japanese “discount” button
1504,🈚,U+1F21A,Japanese “free of charge” button
1505,🈲,U+1F232,Japanese “prohibited” button
1506,🉑,U+1F251,Japanese “acceptable” button
1507,🈸,U+1F238,Japanese “application” button
1508,🈴,U+1F234,Japanese “passing grade” button
1509,🈳,U+1F233,Japanese “vacancy” button
1510,㊗,U+3297,Japanese “congratulations” button
1511,㊙,U+3299,Japanese “secret” button
1512,🈺,U+1F23A,Japanese “open for business” button
1513,🈵,U+1F235,Japanese “no vacancy” button
1514,🔴,U+1F534,red circle
1515,🟠,U+1F7E0,orange circle
1516,🟡,U+1F7E1,yellow circle
1517,🟢,U+1F7E2,green circle
1518,🔵,U+1F535,blue circle
1519,🟣,U+1F7E3,purple circle
1520,🟤,U+1F7E4,brown circle
1521,⚫,U+26AB,black circle
1522,⚪,U+26AA,white circle
1523,🟥,U+1F7E5,red square
1524,🟧,U+1F7E7,orange square
1525,🟨,U+1F7E8,yellow square
1526,🟩,U+1F7E9,green square
1527,🟦,U+1F7E6,blue square
1528,🟪,U+1F7EA,purple square
1529,🟫,U+1F7EB,brown square
1530,⬛,U+2B1B,black large square
1531,⬜,U+2B1C,white large square
1532,◼,U+25FC,black medium square
1533,◻,U+25FB,white medium square
1534,◾,U+25FE,black medium-small square
1535,◽,U+25FD,white medium-small square
1536,▪,U+25AA,black small square
1537,▫,U+25AB,white small square
1538,🔶,U+1F536,large orange diamond
1539,🔷,U+1F537,large blue diamond
1540,🔸,U+1F538,small orange diamond
1541,🔹,U+1F539,small blue diamond
1542,🔺,U+1F53A,red triangle pointed up
1543,🔻,U+1F53B,red triangle pointed down
1544,💠,U+1F4A0,diamond with a dot
1545,🔘,U+1F518,radio button
1546,🔳,U+1F533,white square button
1547,🔲,U+1F532,black square button
1548,🏁,U+1F3C1,chequered flag
1549,🚩,U+1F6A9,triangular flag
1550,🎌,U+1F38C,crossed flags
1551,🏴,U+1F3F4,black flag
1552,🏳,U+1F3F3,white flag
1553,🏳️‍🌈,U+1F3F3 U+FE0F U+200D U+1F308,rainbow flag
1554,🏳️‍⚧️,U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F,transgender flag
1555,🏴‍☠️,U+1F3F4 U+200D U+2620 U+FE0F,pirate flag
1556,🇦🇨,U+1F1E6 U+1F1E8,flag: Ascension Island
1557,🇦🇩,U+1F1E6 U+1F1E9,flag: Andorra
1558,🇦🇪,U+1F1E6 U+1F1EA,flag: United Arab Emirates
1559,🇦🇫,U+1F1E6 U+1F1EB,flag: Afghanistan
1560,🇦🇬,U+1F1E6 U+1F1EC,flag: Antigua & Barbuda
1561,🇦🇮,U+1F1E6 U+1F1EE,flag: Anguilla
1562,🇦🇱,U+1F1E6 U+1F1F1,flag: Albania
1563,🇦🇲,U+1F1E6 U+1F1F2,flag: Armenia
1564,🇦🇴,U+1F1E6 U+1F1F4,flag: Angola
1565,🇦🇶,U+1F1E6 U+1F1F6,flag: Antarctica
1566,🇦🇷,U+1F1E6 U+1F1F7,flag: Argentina
1567,🇦🇸,U+1F1E6 U+1F1F8,flag: American Samoa
1568,🇦🇹,U+1F1E6 U+1F1F9,flag: Austria
1569,🇦🇺,U+1F1E6 U+1F1FA,flag: Australia
1570,🇦🇼,U+1F1E6 U+1F1FC,flag: Aruba
1571,🇦🇽,U+1F1E6 U+1F1FD,flag: Åland Islands
1572,🇦🇿,U+1F1E6 U+1F1FF,flag: Azerbaijan
1573,🇧🇦,U+1F1E7 U+1F1E6,flag: Bosnia & Herzegovina
1574,🇧🇧,U+1F1E7 U+1F1E7,flag: Barbados
1575,🇧🇩,U+1F1E7 U+1F1E9,flag: Bangladesh
1576,🇧🇪,U+1F1E7 U+1F1EA,flag: Belgium
1577,🇧🇫,U+1F1E7 U+1F1EB,flag: Burkina Faso
1578,🇧🇬,U+1F1E7 U+1F1EC,flag: Bulgaria
1579,🇧🇭,U+1F1E7 U+1F1ED,flag: Bahrain
1580,🇧🇮,U+1F1E7 U+1F1EE,flag: Burundi
1581,🇧🇯,U+1F1E7 U+1F1EF,flag: Benin
1582,🇧🇱,U+1F1E7 U+1F1F1,flag: St. Barthélemy
1583,🇧🇲,U+1F1E7 U+1F1F2,flag: Bermuda
1584,🇧🇳,U+1F1E7 U+1F1F3,flag: Brunei
1585,🇧🇴,U+1F1E7 U+1F1F4,flag: Bolivia
1586,🇧🇶,U+1F1E7 U+1F1F6,flag: Caribbean Netherlands
1587,🇧🇷,U+1F1E7 U+1F1F7,flag: Brazil
1588,🇧🇸,U+1F1E7 U+1F1F8,flag: Bahamas
1589,🇧🇹,U+1F1E7 U+1F1F9,flag: Bhutan
1590,🇧🇻,U+1F1E7 U+1F1FB,flag: Bouvet Island
1591,🇧🇼,U+1F1E7 U+1F1FC,flag: Botswana
1592,🇧🇾,U+1F1E7 U+1F1FE,flag: Belarus
1593,🇧🇿,U+1F1E7 U+1F1FF,flag: Belize
1594,🇨🇦,U+1F1E8 U+1F1E6,flag: Canada
1595,🇨🇨,U+1F1E8 U+1F1E8,flag: Cocos (Keeling) Islands
1596,🇨🇩,U+1F1E8 U+1F1E9,flag: Congo - Kinshasa
1597,🇨🇫,U+1F1E8 U+1F1EB,flag: Central African Republic
1598,🇨🇬,U+1F1E8 U+1F1EC,flag: Congo - Brazzaville
1599,🇨🇭,U+1F1E8 U+1F1ED,flag: Switzerland
1600,🇨🇮,U+1F1E8 U+1F1EE,flag: Côte d’Ivoire
1601,🇨🇰,U+1F1E8 U+1F1F0,flag: Cook Islands
1602,🇨🇱,U+1F1E8 U+1F1F1,flag: Chile
1603,🇨🇲,U+1F1E8 U+1F1F2,flag: Cameroon
1604,🇨🇳,U+1F1E8 U+1F1F3,flag: China
1605,🇨🇴,U+1F1E8 U+1F1F4,flag: Colombia
1606,🇨🇵,U+1F1E8 U+1F1F5,flag: Clipperton Island
1607,🇨🇷,U+1F1E8 U+1F1F7,flag: Costa Rica
1608,🇨🇺,U+1F1E8 U+1F1FA,flag: Cuba
1609,🇨🇻,U+1F1E8 U+1F1FB,flag: Cape Verde
1610,🇨🇼,U+1F1E8 U+1F1FC,flag: Curaçao
1611,🇨🇽,U+1F1E8 U+1F1FD,flag: Christmas Island
1612,🇨🇾,U+1F1E8 U+1F1FE,flag: Cyprus
1613,🇨🇿,U+1F1E8 U+1F1FF,flag: Czechia
1614,🇩🇪,U+1F1E9 U+1F1EA,flag: Germany
1615,🇩🇬,U+1F1E9 U+1F1EC,flag: Diego Garcia
1616,🇩🇯,U+1F1E9 U+1F1EF,flag: Djibouti
1617,🇩🇰,U+1F1E9 U+1F1F0,flag: Denmark
1618,🇩🇲,U+1F1E9 U+1F1F2,flag: Dominica
1619,🇩🇴,U+1F1E9 U+1F1F4,flag: Dominican Republic
1620,🇩🇿,U+1F1E9 U+1F1FF,flag: Algeria
1621,🇪🇦,U+1F1EA U+1F1E6,flag: Ceuta & Melilla
1622,🇪🇨,U+1F1EA U+1F1E8,flag: Ecuador
1623,🇪🇪,U+1F1EA U+1F1EA,flag: Estonia
1624,🇪🇬,U+1F1EA U+1F1EC,flag: Egypt
1625,🇪🇭,U+1F1EA U+1F1ED,flag: Western Sahara
1626,🇪🇷,U+1F1EA U+1F1F7,flag: Eritrea
1627,🇪🇸,U+1F1EA U+1F1F8,flag: Spain
1628,🇪🇹,U+1F1EA U+1F1F9,flag: Ethiopia
1629,🇪🇺,U+1F1EA U+1F1FA,flag: European Union
1630,🇫🇮,U+1F1EB U+1F1EE,flag: Finland
1631,🇫🇯,U+1F1EB U+1F1EF,flag: Fiji
1632,🇫🇰,U+1F1EB U+1F1F0,flag: Falkland Islands
1633,🇫🇲,U+1F1EB U+1F1F2,flag: Micronesia
1634,🇫🇴,U+1F1EB U+1F1F4,flag: Faroe Islands
1635,🇫🇷,U+1F1EB U+1F1F7,flag: France
1636,🇬🇦,U+1F1EC U+1F1E6,flag: Gabon
1637,🇬🇧,U+1F1EC U+1F1E7,flag: United Kingdom
1638,🇬🇩,U+1F1EC U+1F1E9,flag: Grenada
1639,🇬🇪,U+1F1EC U+1F1EA,flag: Georgia
1640,🇬🇫,U+1F1EC U+1F1EB,flag: French Guiana
1641,🇬🇬,U+1F1EC U+1F1EC,flag: Guernsey
1642,🇬🇭,U+1F1EC U+1F1ED,flag: Ghana
1643,🇬🇮,U+1F1EC U+1F1EE,flag: Gibraltar
1644,🇬🇱,U+1F1EC U+1F1F1,flag: Greenland
1645,🇬🇲,U+1F1EC U+1F1F2,flag: Gambia
1646,🇬🇳,U+1F1EC U+1F1F3,flag: Guinea
1647,🇬🇵,U+1F1EC U+1F1F5,flag: Guadeloupe
1648,🇬🇶,U+1F1EC U+1F1F6,flag: Equatorial Guinea
1649,🇬🇷,U+1F1EC U+1F1F7,flag: Greece
1650,🇬🇸,U+1F1EC U+1F1F8,flag: South Georgia & South Sandwich Islands
1651,🇬🇹,U+1F1EC U+1F1F9,flag: Guatemala
1652,🇬🇺,U+1F1EC U+1F1FA,flag: Guam
1653,🇬🇼,U+1F1EC U+1F1FC,flag: Guinea-Bissau
1654,🇬🇾,U+1F1EC U+1F1FE,flag: Guyana
1655,🇭🇰,U+1F1ED U+1F1F0,flag: Hong Kong SAR China
1656,🇭🇲,U+1F1ED U+1F1F2,flag: Heard & McDonald Islands
1657,🇭🇳,U+1F1ED U+1F1F3,flag: Honduras
1658,🇭🇷,U+1F1ED U+1F1F7,flag: Croatia
1659,🇭🇹,U+1F1ED U+1F1F9,flag: Haiti
1660,🇭🇺,U+1F1ED U+1F1FA,flag: Hungary
1661,🇮🇨,U+1F1EE U+1F1E8,flag: Canary Islands
1662,🇮🇩,U+1F1EE U+1F1E9,flag: Indonesia
1663,🇮🇪,U+1F1EE U+1F1EA,flag: Ireland
1664,🇮🇱,U+1F1EE U+1F1F1,flag: Israel
1665,🇮🇲,U+1F1EE U+1F1F2,flag: Isle of Man
1666,🇮🇳,U+1F1EE U+1F1F3,flag: India
1667,🇮🇴,U+1F1EE U+1F1F4,flag: British Indian Ocean Territory
1668,🇮🇶,U+1F1EE U+1F1F6,flag: Iraq
1669,🇮🇷,U+1F1EE U+1F1F7,flag: Iran
1670,🇮🇸,U+1F1EE U+1F1F8,flag: Iceland
1671,🇮🇹,U+1F1EE U+1F1F9,flag: Italy
1672,🇯🇪,U+1F1EF U+1F1EA,flag: Jersey
1673,🇯🇲,U+1F1EF U+1F1F2,flag: Jamaica
1674,🇯🇴,U+1F1EF U+1F1F4,flag: Jordan
1675,🇯🇵,U+1F1EF U+1F1F5,flag: Japan
1676,🇰🇪,U+1F1F0 U+1F1EA,flag: Kenya
1677,🇰🇬,U+1F1F0 U+1F1EC,flag: Kyrgyzstan
1678,🇰🇭,U+1F1F0 U+1F1ED,flag: Cambodia
1679,🇰🇮,U+1F1F0 U+1F1EE,flag: Kiribati
1680,🇰🇲,U+1F1F0 U+1F1F2,flag: Comoros
1681,🇰🇳,U+1F1F0 U+1F1F3,flag: St. Kitts & Nevis
1682,🇰🇵,U+1F1F0 U+1F1F5,flag: North Korea
1683,🇰🇷,U+1F1F0 U+1F1F7,flag: South Korea
1684,🇰🇼,U+1F1F0 U+1F1FC,flag: Kuwait
1685,🇰🇾,U+1F1F0 U+1F1FE,flag: Cayman Islands
1686,🇰🇿,U+1F1F0 U+1F1FF,flag: Kazakhstan
1687,🇱🇦,U+1F1F1 U+1F1E6,flag: Laos
1688,🇱🇧,U+1F1F1 U+1F1E7,flag: Lebanon
1689,🇱🇨,U+1F1F1 U+1F1E8,flag: St. Lucia
1690,🇱🇮,U+1F1F1 U+1F1EE,flag: Liechtenstein
1691,🇱🇰,U+1F1F1 U+1F1F0,flag: Sri Lanka
1692,🇱🇷,U+1F1F1 U+1F1F7,flag: Liberia
1693,🇱🇸,U+1F1F1 U+1F1F8,flag: Lesotho
1694,🇱🇹,U+1F1F1 U+1F1F9,flag: Lithuania
1695,🇱🇺,U+1F1F1 U+1F1FA,flag: Luxembourg
1696,🇱🇻,U+1F1F1 U+1F1FB,flag: Latvia
1697,🇱🇾,U+1F1F1 U+1F1FE,flag: Libya
1698,🇲🇦,U+1F1F2 U+1F1E6,flag: Morocco
1699,🇲🇨,U+1F1F2 U+1F1E8,flag: Monaco
1700,🇲🇩,U+1F1F2 U+1F1E9,flag: Moldova
1701,🇲🇪,U+1F1F2 U+1F1EA,flag: Montenegro
1702,🇲🇫,U+1F1F2 U+1F1EB,flag: St. Martin
1703,🇲🇬,U+1F1F2 U+1F1EC,flag: Madagascar
1704,🇲🇭,U+1F1F2 U+1F1ED,flag: Marshall Islands
1705,🇲🇰,U+1F1F2 U+1F1F0,flag: North Macedonia
1706,🇲🇱,U+1F1F2 U+1F1F1,flag: Mali
1707,🇲🇲,U+1F1F2 U+1F1F2,flag: Myanmar (Burma)
1708,🇲🇳,U+1F1F2 U+1F1F3,flag: Mongolia
1709,🇲🇴,U+1F1F2 U+1F1F4,flag: Macao SAR China
1710,🇲🇵,U+1F1F2 U+1F1F5,flag: Northern Mariana Islands
1711,🇲🇶,U+1F1F2 U+1F1F6,flag: Martinique
1712,🇲🇷,U+1F1F2 U+1F1F7,flag: Mauritania
1713,🇲🇸,U+1F1F2 U+1F1F8,flag: Montserrat
1714,🇲🇹,U+1F1F2 U+1F1F9,flag: Malta
1715,🇲🇺,U+1F1F2 U+1F1FA,flag: Mauritius
1716,🇲🇻,U+1F1F2 U+1F1FB,flag: Maldives
1717,🇲🇼,U+1F1F2 U+1F1FC,flag: Malawi
1718,🇲🇽,U+1F1F2 U+1F1FD,flag: Mexico
1719,🇲🇾,U+1F1F2 U+1F1FE,flag: Malaysia
1720,🇲🇿,U+1F1F2 U+1F1FF,flag: Mozambique
1721,🇳🇦,U+1F1F3 U+1F1E6,flag: Namibia
1722,🇳🇨,U+1F1F3 U+1F1E8,flag: New Caledonia
1723,🇳🇪,U+1F1F3 U+1F1EA,flag: Niger
1724,🇳🇫,U+1F1F3 U+1F1EB,flag: Norfolk Island
1725,🇳🇬,U+1F1F3 U+1F1EC,flag: Nigeria
1726,🇳🇮,U+1F1F3 U+1F1EE,flag: Nicaragua
1727,🇳🇱,U+1F1F3 U+1F1F1,flag: Netherlands
1728,🇳🇴,U+1F1F3 U+1F1F4,flag: Norway
1729,🇳🇵,U+1F1F3 U+1F1F5,flag: Nepal
1730,🇳🇷,U+1F1F3 U+1F1F7,flag: Nauru
1731,🇳🇺,U+1F1F3 U+1F1FA,flag: Niue
1732,🇳🇿,U+1F1F3 U+1F1FF,flag: New Zealand
1733,🇴🇲,U+1F1F4 U+1F1F2,flag: Oman
1734,🇵🇦,U+1F1F5 U+1F1E6,flag: Panama
1735,🇵🇪,U+1F1F5 U+1F1EA,flag: Peru
1736,🇵🇫,U+1F1F5 U+1F1EB,flag: French Polynesia
1737,🇵🇬,U+1F1F5 U+1F1EC,flag: Papua New Guinea
1738,🇵🇭,U+1F1F5 U+1F1ED,flag: Philippines
1739,🇵🇰,U+1F1F5 U+1F1F0,flag: Pakistan
1740,🇵🇱,U+1F1F5 U+1F1F1,flag: Poland
1741,🇵🇲,U+1F1F5 U+1F1F2,flag: St. Pierre & Miquelon
1742,🇵🇳,U+1F1F5 U+1F1F3,flag: Pitcairn Islands
1743,🇵🇷,U+1F1F5 U+1F1F7,flag: Puerto Rico
1744,🇵🇸,U+1F1F5 U+1F1F8,flag: Palestinian Territories
1745,🇵🇹,U+1F1F5 U+1F1F9,flag: Portugal
1746,🇵🇼,U+1F1F5 U+1F1FC,flag: Palau
1747,🇵🇾,U+1F1F5 U+1F1FE,flag: Paraguay
1748,🇶🇦,U+1F1F6 U+1F1E6,flag: Qatar
1749,🇷🇪,U+1F1F7 U+1F1EA,flag: Réunion
1750,🇷🇴,U+1F1F7 U+1F1F4,flag: Romania
1751,🇷🇸,U+1F1F7 U+1F1F8,flag: Serbia
1752,🇷🇺,U+1F1F7 U+1F1FA,flag: Russia
1753,🇷🇼,U+1F1F7 U+1F1FC,flag: Rwanda
1754,🇸🇦,U+1F1F8 U+1F1E6,flag: Saudi Arabia
1755,🇸🇧,U+1F1F8 U+1F1E7,flag: Solomon Islands
1756,🇸🇨,U+1F1F8 U+1F1E8,flag: Seychelles
1757,🇸🇩,U+1F1F8 U+1F1E9,flag: Sudan
1758,🇸🇪,U+1F1F8 U+1F1EA,flag: Sweden
1759,🇸🇬,U+1F1F8 U+1F1EC,flag: Singapore
1760,🇸🇭,U+1F1F8 U+1F1ED,flag: St. Helena
1761,🇸🇮,U+1F1F8 U+1F1EE,flag: Slovenia
1762,🇸🇯,U+1F1F8 U+1F1EF,flag: Svalbard & Jan Mayen
1763,🇸🇰,U+1F1F8 U+1F1F0,flag: Slovakia
1764,🇸🇱,U+1F1F8 U+1F1F1,flag: Sierra Leone
1765,🇸🇲,U+1F1F8 U+1F1F2,flag: San Marino
1766,🇸🇳,U+1F1F8 U+1F1F3,flag: Senegal
1767,🇸🇴,U+1F1F8 U+1F1F4,flag: Somalia
1768,🇸🇷,U+1F1F8 U+1F1F7,flag: Suriname
1769,🇸🇸,U+1F1F8 U+1F1F8,flag: South Sudan
1770,🇸🇹,U+1F1F8 U+1F1F9,flag: São Tomé & Príncipe
1771,🇸🇻,U+1F1F8 U+1F1FB,flag: El Salvador
1772,🇸🇽,U+1F1F8 U+1F1FD,flag: Sint Maarten
1773,🇸🇾,U+1F1F8 U+1F1FE,flag: Syria
1774,🇸🇿,U+1F1F8 U+1F1FF,flag: Eswatini
1775,🇹🇦,U+1F1F9 U+1F1E6,flag: Tristan da Cunha
1776,🇹🇨,U+1F1F9 U+1F1E8,flag: Turks & Caicos Islands
1777,🇹🇩,U+1F1F9 U+1F1E9,flag: Chad
1778,🇹🇫,U+1F1F9 U+1F1EB,flag: French Southern Territories
1779,🇹🇬,U+1F1F9 U+1F1EC,flag: Togo
1780,🇹🇭,U+1F1F9 U+1F1ED,flag: Thailand
1781,🇹🇯,U+1F1F9 U+1F1EF,flag: Tajikistan
1782,🇹🇰,U+1F1F9 U+1F1F0,flag: Tokelau
1783,🇹🇱,U+1F1F9 U+1F1F1,flag: Timor-Leste
1784,🇹🇲,U+1F1F9 U+1F1F2,flag: Turkmenistan
1785,🇹🇳,U+1F1F9 U+1F1F3,flag: Tunisia
1786,🇹🇴,U+1F1F9 U+1F1F4,flag: Tonga
1787,🇹🇷,U+1F1F9 U+1F1F7,flag: Turkey
1788,🇹🇹,U+1F1F9 U+1F1F9,flag: Trinidad & Tobago
1789,🇹🇻,U+1F1F9 U+1F1FB,flag: Tuvalu
1790,🇹🇼,U+1F1F9 U+1F1FC,flag: Taiwan
1791,🇹🇿,U+1F1F9 U+1F1FF,flag: Tanzania
