#,emoji,unicode,name
292,👩‍💼,U+1F469 U+200D U+1F4BC,woman office worker
293,🧑‍🔬,U+1F9D1 U+200D U+1F52C,scientist
294,👨‍🔬,U+1F468 U+200D U+1F52C,man scientist
295,👩‍🔬,U+1F469 U+200D U+1F52C,woman scientist
296,🧑‍💻,U+1F9D1 U+200D U+1F4BB,technologist
297,👨‍💻,U+1F468 U+200D U+1F4BB,man technologist
298,👩‍💻,U+1F469 U+200D U+1F4BB,woman technologist
299,🧑‍🎤,U+1F9D1 U+200D U+1F3A4,singer
300,👨‍🎤,U+1F468 U+200D U+1F3A4,man singer
301,👩‍🎤,U+1F469 U+200D U+1F3A4,woman singer
302,🧑‍🎨,U+1F9D1 U+200D U+1F3A8,artist
303,👨‍🎨,U+1F468 U+200D U+1F3A8,man artist
304,👩‍🎨,U+1F469 U+200D U+1F3A8,woman artist
305,🧑‍✈️,U+1F9D1 U+200D U+2708 U+FE0F,pilot
306,👨‍✈️,U+1F468 U+200D U+2708 U+FE0F,man pilot
307,👩‍✈️,U+1F469 U+200D U+2708 U+FE0F,woman pilot
308,🧑‍🚀,U+1F9D1 U+200D U+1F680,astronaut
309,👨‍🚀,U+1F468 U+200D U+1F680,man astronaut
310,👩‍🚀,U+1F469 U+200D U+1F680,woman astronaut
311,🧑‍🚒,U+1F9D1 U+200D U+1F692,firefighter
312,👨‍🚒,U+1F468 U+200D U+1F692,man firefighter
313,👩‍🚒,U+1F469 U+200D U+1F692,woman firefighter
314,👮,U+1F46E,police officer
315,👮‍♂️,U+1F46E U+200D U+2642 U+FE0F,man police officer
316,👮‍♀️,U+1F46E U+200D U+2640 U+FE0F,woman police officer
317,🕵,U+1F575,detective
318,🕵️‍♂️,U+1F575 U+FE0F U+200D U+2642 U+FE0F,man detective
319,🕵️‍♀️,U+1F575 U+FE0F U+200D U+2640 U+FE0F,woman detective
320,💂,U+1F482,guard
321,💂‍♂️,U+1F482 U+200D U+2642 U+FE0F,man guard
322,💂‍♀️,U+1F482 U+200D U+2640 U+FE0F,woman guard
323,🥷,U+1F977,ninja
324,👷,U+1F477,construction worker
325,👷‍♂️,U+1F477 U+200D U+2642 U+FE0F,man construction worker
326,👷‍♀️,U+1F477 U+200D U+2640 U+FE0F,woman construction worker
327,🤴,U+1F934,prince
328,👸,U+1F478,princess
329,👳,U+1F473,person wearing turban
330,👳‍♂️,U+1F473 U+200D U+2642 U+FE0F,man wearing turban
331,👳‍♀️,U+1F473 U+200D U+2640 U+FE0F,woman wearing turban
332,👲,U+1F472,person with skullcap
333,🧕,U+1F9D5,woman with headscarf
334,🤵,U+1F935,person in tuxedo
335,🤵‍♂️,U+1F935 U+200D U+2642 U+FE0F,man in tuxedo
336,🤵‍♀️,U+1F935 U+200D U+2640 U+FE0F,woman in tuxedo
337,👰,U+1F470,person with veil
338,👰‍♂️,U+1F470 U+200D U+2642 U+FE0F,man with veil
339,👰‍♀️,U+1F470 U+200D U+2640 U+FE0F,woman with veil
340,🤰,U+1F930,pregnant woman
341,🤱,U+1F931,breast-feeding
342,👩‍🍼,U+1F469 U+200D U+1F37C,woman feeding baby
343,👨‍🍼,U+1F468 U+200D U+1F37C,man feeding baby
344,🧑‍🍼,U+1F9D1 U+200D U+1F37C,person feeding baby
345,👼,U+1F47C,baby angel
346,🎅,U+1F385,Santa Claus
347,🤶,U+1F936,Mrs. Claus
348,🧑‍🎄,U+1F9D1 U+200D U+1F384,mx claus
349,🦸,U+1F9B8,superhero
350,🦸‍♂️,U+1F9B8 U+200D U+2642 U+FE0F,man superhero
351,🦸‍♀️,U+1F9B8 U+200D U+2640 U+FE0F,woman superhero
352,🦹,U+1F9B9,supervillain
353,🦹‍♂️,U+1F9B9 U+200D U+2642 U+FE0F,man supervillain
354,🦹‍♀️,U+1F9B9 U+200D U+2640 U+FE0F,woman supervillain
355,🧙,U+1F9D9,mage
356,🧙‍♂️,U+1F9D9 U+200D U+2642 U+FE0F,man mage
357,🧙‍♀️,U+1F9D9 U+200D U+2640 U+FE0F,woman mage
358,🧚,U+1F9DA,fairy
359,🧚‍♂️,U+1F9DA U+200D U+2642 U+FE0F,man fairy
360,🧚‍♀️,U+1F9DA U+200D U+2640 U+FE0F,woman fairy
361,🧛,U+1F9DB,vampire
362,🧛‍♂️,U+1F9DB U+200D U+2642 U+FE0F,man vampire
363,🧛‍♀️,U+1F9DB U+200D U+2640 U+FE0F,woman vampire
364,🧜,U+1F9DC,merperson
365,🧜‍♂️,U+1F9DC U+200D U+2642 U+FE0F,merman
366,🧜‍♀️,U+1F9DC U+200D U+2640 U+FE0F,mermaid
367,🧝,U+1F9DD,elf
368,🧝‍♂️,U+1F9DD U+200D U+2642 U+FE0F,man elf
369,🧝‍♀️,U+1F9DD U+200D U+2640 U+FE0F,woman elf
370,🧞,U+1F9DE,genie
371,🧞‍♂️,U+1F9DE U+200D U+2642 U+FE0F,man genie
372,🧞‍♀️,U+1F9DE U+200D U+2640 U+FE0F,woman genie
373,🧟,U+1F9DF,zombie
374,🧟‍♂️,U+1F9DF U+200D U+2642 U+FE0F,man zombie
375,🧟‍♀️,U+1F9DF U+200D U+2640 U+FE0F,woman zombie
376,💆,U+1F486,person getting massage
377,💆‍♂️,U+1F486 U+200D U+2642 U+FE0F,man getting massage
378,💆‍♀️,U+1F486 U+200D U+2640 U+FE0F,woman getting massage
379,💇,U+1F487,person getting haircut
380,💇‍♂️,U+1F487 U+200D U+2642 U+FE0F,man getting haircut
381,💇‍♀️,U+1F487 U+200D U+2640 U+FE0F,woman getting haircut
382,🚶,U+1F6B6,person walking
383,🚶‍♂️,U+1F6B6 U+200D U+2642 U+FE0F,man walking
384,🚶‍♀️,U+1F6B6 U+200D U+2640 U+FE0F,woman walking
385,🧍,U+1F9CD,person standing
386,🧍‍♂️,U+1F9CD U+200D U+2642 U+FE0F,man standing
387,🧍‍♀️,U+1F9CD U+200D U+2640 U+FE0F,woman standing
388,🧎,U+1F9CE,person kneeling
389,🧎‍♂️,U+1F9CE U+200D U+2642 U+FE0F,man kneeling
390,🧎‍♀️,U+1F9CE U+200D U+2640 U+FE0F,woman kneeling
391,🧑‍🦯,U+1F9D1 U+200D U+1F9AF,person with white cane
392,👨‍🦯,U+1F468 U+200D U+1F9AF,man with white cane
393,👩‍🦯,U+1F469 U+200D U+1F9AF,woman with white cane
394,🧑‍🦼,U+1F9D1 U+200D U+1F9BC,person in motorized wheelchair
395,👨‍🦼,U+1F468 U+200D U+1F9BC,man in motorized wheelchair
396,👩‍🦼,U+1F469 U+200D U+1F9BC,woman in motorized wheelchair
397,🧑‍🦽,U+1F9D1 U+200D U+1F9BD,person in manual wheelchair
398,👨‍🦽,U+1F468 U+200D U+1F9BD,man in manual wheelchair
399,👩‍🦽,U+1F469 U+200D U+1F9BD,woman in manual wheelchair
400,🏃,U+1F3C3,person running
401,🏃‍♂️,U+1F3C3 U+200D U+2642 U+FE0F,man running
402,🏃‍♀️,U+1F3C3 U+200D U+2640 U+FE0F,woman running
403,💃,U+1F483,woman dancing
404,🕺,U+1F57A,man dancing
405,🕴,U+1F574,person in suit levitating
406,👯,U+1F46F,people with bunny ears
407,👯‍♂️,U+1F46F U+200D U+2642 U+FE0F,men with bunny ears
408,👯‍♀️,U+1F46F U+200D U+2640 U+FE0F,women with bunny ears
409,🧖,U+1F9D6,person in steamy room
410,🧖‍♂️,U+1F9D6 U+200D U+2642 U+FE0F,man in steamy room
411,🧖‍♀️,U+1F9D6 U+200D U+2640 U+FE0F,woman in steamy room
412,🧗,U+1F9D7,person climbing
413,🧗‍♂️,U+1F9D7 U+200D U+2642 U+FE0F,man climbing
414,🧗‍♀️,U+1F9D7 U+200D U+2640 U+FE0F,woman climbing
415,🤺,U+1F93A,person fencing
416,🏇,U+1F3C7,horse racing
417,⛷,U+26F7,skier
418,🏂,U+1F3C2,snowboarder
419,🏌,U+1F3CC,person golfing
420,🏌️‍♂️,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,man golfing
421,🏌️‍♀️,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,woman golfing
422,🏄,U+1F3C4,person surfing
423,🏄‍♂️,U+1F3C4 U+200D U+2642 U+FE0F,man surfing
424,🏄‍♀️,U+1F3C4 U+200D U+2640 U+FE0F,woman surfing
425,🚣,U+1F6A3,person rowing boat
426,🚣‍♂️,U+1F6A3 U+200D U+2642 U+FE0F,man rowing boat
427,🚣‍♀️,U+1F6A3 U+200D U+2640 U+FE0F,woman rowing boat
428,🏊,U+1F3CA,person swimming
429,🏊‍♂️,U+1F3CA U+200D U+2642 U+FE0F,man swimming
430,🏊‍♀️,U+1F3CA U+200D U+2640 U+FE0F,woman swimming
431,⛹,U+26F9,person bouncing ball
432,⛹️‍♂️,U+26F9 U+FE0F U+200D U+2642 U+FE0F,man bouncing ball
433,⛹️‍♀️,U+26F9 U+FE0F U+200D U+2640 U+FE0F,woman bouncing ball
434,🏋,U+1F3CB,person lifting weights
435,🏋️‍♂️,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,man lifting weights
436,🏋️‍♀️,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,woman lifting weights
437,🚴,U+1F6B4,person biking
438,🚴‍♂️,U+1F6B4 U+200D U+2642 U+FE0F,man biking
439,🚴‍♀️,U+1F6B4 U+200D U+2640 U+FE0F,woman biking
440,🚵,U+1F6B5,person mountain biking
441,🚵‍♂️,U+1F6B5 U+200D U+2642 U+FE0F,man mountain biking
442,🚵‍♀️,U+1F6B5 U+200D U+2640 U+FE0F,woman mountain biking
443,🤸,U+1F938,person cartwheeling
444,🤸‍♂️,U+1F938 U+200D U+2642 U+FE0F,man cartwheeling
445,🤸‍♀️,U+1F938 U+200D U+2640 U+FE0F,woman cartwheeling
446,🤼,U+1F93C,people wrestling
447,🤼‍♂️,U+1F93C U+200D U+2642 U+FE0F,men wrestling
448,🤼‍♀️,U+1F93C U+200D U+2640 U+FE0F,women wrestling
449,🤽,U+1F93D,person playing water polo
450,🤽‍♂️,U+1F93D U+200D U+2642 U+FE0F,man playing water polo
451,🤽‍♀️,U+1F93D U+200D U+2640 U+FE0F,woman playing water polo
452,🤾,U+1F93E,person playing handball
453,🤾‍♂️,U+1F93E U+200D U+2642 U+FE0F,man playing handball
454,🤾‍♀️,U+1F93E U+200D U+2640 U+FE0F,woman playing handball
455,🤹,U+1F939,person juggling
456,🤹‍♂️,U+1F939 U+200D U+2642 U+FE0F,man juggling
457,🤹‍♀️,U+1F939 U+200D U+2640 U+FE0F,woman juggling
458,🧘,U+1F9D8,person in lotus position
459,🧘‍♂️,U+1F9D8 U+200D U+2642 U+FE0F,man in lotus position
460,🧘‍♀️,U+1F9D8 U+200D U+2640 U+FE0F,woman in lotus position
461,🛀,U+1F6C0,person taking bath
462,🛌,U+1F6CC,person in bed
463,🧑‍🤝‍🧑,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,people holding hands
464,👭,U+1F46D,women holding hands
465,👫,U+1F46B,woman and man holding hands
466,👬,U+1F46C,men holding hands
467,💏,U+1F48F,kiss
468,👩‍❤️‍💋‍👨,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,"kiss: woman, man"
469,👨‍❤️‍💋‍👨,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,"kiss: man, man"
470,👩‍❤️‍💋‍👩,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,"kiss: woman, woman"
471,💑,U+1F491,couple with heart
472,👩‍❤️‍👨,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,"couple with heart: woman, man"
473,👨‍❤️‍👨,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,"couple with heart: man, man"
474,👩‍❤️‍👩,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,"couple with heart: woman, woman"
475,👪,U+1F46A,family
476,👨‍👩‍👦,U+1F468 U+200D U+1F469 U+200D U+1F466,"family: man, woman, boy"
477,👨‍👩‍👧,U+1F468 U+200D U+1F469 U+200D U+1F467,"family: man, woman, girl"
478,👨‍👩‍👧‍👦,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,"family: man, woman, girl, boy"
479,👨‍👩‍👦‍👦,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,"family: man, woman, boy, boy"
480,👨‍👩‍👧‍👧,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,"family: man, woman, girl, girl"
481,👨‍👨‍👦,U+1F468 U+200D U+1F468 U+200D U+1F466,"family: man, man, boy"
482,👨‍👨‍👧,U+1F468 U+200D U+1F468 U+200D U+1F467,"family: man, man, girl"
483,👨‍👨‍👧‍👦,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,"family: man, man, girl, boy"
484,👨‍👨‍👦‍👦,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,"family: man, man, boy, boy"
485,👨‍👨‍👧‍👧,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,"family: man, man, girl, girl"
486,👩‍👩‍👦,U+1F469 U+200D U+1F469 U+200D U+1F466,"family: woman, woman, boy"
487,👩‍👩‍👧,U+1F469 U+200D U+1F469 U+200D U+1F467,"family: woman, woman, girl"
488,👩‍👩‍👧‍👦,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,"family: woman, woman, girl, boy"
489,👩‍👩‍👦‍👦,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,"family: woman, woman, boy, boy"
490,👩‍👩‍👧‍👧,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,"family: woman, woman, girl, girl"
491,👨‍👦,U+1F468 U+200D U+1F466,"family: man, boy"
492,👨‍👦‍👦,U+1F468 U+200D U+1F466 U+200D U+1F466,"family: man, boy, boy"
493,👨‍👧,U+1F468 U+200D U+1F467,"family: man, girl"
494,👨‍👧‍👦,U+1F468 U+200D U+1F467 U+200D U+1F466,"family: man, girl, boy"
495,👨‍👧‍👧,U+1F468 U+200D U+1F467 U+200D U+1F467,"family: man, girl, girl"
496,👩‍👦,U+1F469 U+200D U+1F466,"family: woman, boy"
497,👩‍👦‍👦,U+1F469 U+200D U+1F466 U+200D U+1F466,"family: woman, boy, boy"
498,👩‍👧,U+1F469 U+200D U+1F467,"family: woman, girl"
499,👩‍👧‍👦,U+1F469 U+200D U+1F467 U+200D U+1F466,"family: woman, girl, boy"
500,👩‍👧‍👧,U+1F469 U+200D U+1F467 U+200D U+1F467,"family: woman, girl, girl"
501,🗣,U+1F5E3,speaking head
502,👤,U+1F464,bust in silhouette
503,👥,U+1F465,busts in silhouette
