town,flat_type,floor_area_sqm,flat_model,lease_commence_date,resale_price
23,1,66,3,1970,270000
14,3,107,2,2011,948000
1,2,88,3,1976,388000
20,3,111,10,2002,510000
22,1,73,5,1984,378888
13,3,133,5,1985,477500
9,2,91,9,1979,570000
23,3,140,5,1984,721500
10,1,59,3,1977,290000
20,2,95,5,2000,475000
23,2,91,5,2009,585000
11,3,121,3,1987,498000
19,2,94,5,2010,390000
0,3,119,3,1979,622000
4,2,85,5,2003,645000
22,2,104,5,1985,480000
22,3,128,3,1988,575000
4,1,76,3,1975,350000
16,4,143,1,1996,645000
5,4,146,4,1989,598000
1,1,67,9,1979,361500
20,3,110,3,2002,515000
1,1,68,9,1979,310000
20,2,90,5,2005,375000
25,2,84,11,1987,358000
16,4,146,4,1989,585000
20,3,113,10,2001,453888
13,4,146,1,1993,535000
19,3,111,10,2001,485000
13,2,104,5,1989,320000
18,0,46,12,1971,268000
25,1,64,11,1987,268000
20,3,110,3,2002,370000
19,3,110,3,2001,498000
9,3,113,3,2013,900000
24,1,67,9,1985,308000
17,4,130,10,2003,558000
20,2,90,10,2009,545000
13,3,113,10,2003,502000
8,3,126,10,1999,493000
4,2,90,5,2009,700000
8,2,104,5,1989,345000
25,2,104,5,1988,370000
25,2,104,5,1987,398000
25,2,89,11,1987,392000
1,2,92,9,1979,400000
0,2,91,9,1980,410000
17,2,90,5,2004,493000
18,1,65,3,1975,453000
19,3,110,3,2001,425000
7,3,107,15,2011,991000
25,1,64,11,1987,308000
11,3,130,3,1987,556000
13,3,145,6,1984,480000
15,1,65,3,1975,418000
23,2,87,3,1973,302000
23,1,65,3,1968,376500
24,1,65,3,1976,250000
1,3,121,3,1981,495000
20,2,95,5,2000,464000
23,1,65,3,1972,379000
11,4,149,4,1984,608000
3,1,67,9,1985,275000
24,2,100,5,1997,362000
10,1,61,12,1969,258000
22,1,73,5,1984,373500
18,1,65,12,1971,335000
12,2,99,9,1981,380000
0,1,73,9,1978,372000
24,1,65,3,1974,298000
10,2,91,9,1980,398000
13,2,91,5,2000,481000
9,1,74,5,1983,330000
18,1,65,3,1978,369000
4,1,88,9,1976,485000
0,1,68,9,1981,342000
8,2,101,5,1999,420000
1,1,63,11,1988,315000
24,4,176,1,1994,630000
19,2,90,5,2001,312000
0,1,67,9,1980,285000
2,2,104,5,1992,608000
18,1,65,3,1976,400000
13,3,110,3,2001,500000
8,3,125,10,1999,450000
19,2,86,7,2001,320000
23,1,63,12,1983,330800
24,2,84,11,1996,323000
3,2,90,5,2005,495000
5,2,103,5,1988,320000
25,2,92,5,2012,405000
19,3,111,3,2004,460000
22,1,74,5,1987,315000
12,1,83,9,1989,385000
22,2,106,5,1984,446000
1,1,65,3,1976,296500
5,2,103,5,1998,413000
25,1,64,11,1987,315000
13,4,146,4,1989,580000
24,2,100,5,1998,378000
1,3,121,3,1998,498000
13,2,104,5,1990,330000
13,1,59,3,1975,286000
23,2,104,5,1998,552000
24,2,93,10,2003,405000
16,2,104,5,1995,415000
1,1,67,9,1979,308000
1,2,84,3,1977,420000
19,2,90,5,2004,410000
25,2,84,11,1986,405000
20,3,112,10,2003,408000
24,4,170,1,1995,700000
0,0,44,3,1977,267000
23,1,67,3,1969,346000
11,2,111,5,1985,430000
13,2,104,5,1985,390000
8,4,152,1,1995,608000
0,1,67,9,1979,314888
12,1,77,3,1977,295000
14,3,123,3,1996,688000
3,3,121,3,1998,518888
14,1,64,11,1987,365000
10,2,91,9,1980,380000
19,3,115,3,1999,463000
0,3,110,3,2002,745000
21,2,84,11,1987,510000
4,2,85,5,2009,600000
22,3,122,3,1987,560000
16,2,106,5,1989,445000
14,2,88.1,3,1974,550000
25,2,84,11,1985,362000
25,2,105,5,1989,335000
24,3,117,3,1997,468000
17,3,111,10,2003,532000
24,3,111,3,2001,398888
22,2,108,5,1986,415000
3,1,70,11,1986,325000
0,2,98,9,1978,510000
22,4,146,4,1996,650000
4,3,110,3,2003,820000
22,2,104,5,1984,480000
14,2,90,5,2006,625000
16,2,103,5,1989,486000
24,3,125,3,1996,480000
17,2,97,10,2012,535000
0,1,67,9,1979,325000
5,2,90,7,2002,390000
17,4,128,10,2004,650888
4,3,115,3,2005,815000
25,1,67,9,1986,308000
24,1,68,9,1995,348000
22,2,91,9,1984,473000
17,2,90,10,2007,535000
1,1,68,9,1980,305000
3,2,104,5,1985,415000
17,3,110,3,2004,580000
11,4,141,1,2000,756000
13,2,86,7,2002,350000
25,2,84,11,1987,325000
5,4,125,10,2002,528000
11,4,148,4,1992,670000
11,2,104,5,1992,460000
22,2,84,11,1988,430000
9,1,68,9,1980,402000
15,2,82,3,1975,460000
14,1,59,3,1976,334000
17,3,110,3,2003,510000
16,3,123,3,1993,500000
11,4,148,4,1991,630000
11,2,92,9,1985,350000
22,2,107,5,1996,445000
11,3,121,3,1999,555000
14,3,109,2,2011,920000
24,2,100,5,1997,403000
2,2,104,5,1992,580000
22,2,104,5,1993,540000
18,1,65,3,1975,450000
17,4,129,10,2003,616888
3,2,104,5,1985,450000
22,2,103,5,1997,490000
23,0,40,12,1968,215000
15,2,87,3,1976,568000
25,1,67,9,1985,290000
23,2,103,5,1997,667800
2,2,83,11,1987,490000
13,2,85,7,2000,408000
11,3,116,3,1999,495000
17,3,112,10,2013,470000
22,2,104,5,1989,481500
5,4,130,1,2002,733888
9,1,61,5,2003,398000
11,2,103,5,1990,470000
13,1,74,5,1986,340000
20,2,86,7,2001,440000
11,3,122,3,1998,455000
1,1,67,9,1982,267000
23,0,50,12,1983,290000
12,3,120,3,1998,590000
19,2,95,10,2001,410000
16,3,123,3,1996,570000
7,2,96,14,2011,850000
12,4,149,4,1985,640000
11,2,84,11,1986,367500
20,3,110,3,2001,556000
5,2,101,5,1999,330000
8,2,104,5,1992,380000
2,2,84,11,1988,520000
0,2,92,9,1978,423000
15,1,65,3,1976,430000
1,2,84,3,1977,435000
25,2,84,11,1987,310000
24,2,105,10,1999,451000
24,1,65,3,1976,275000
19,2,90,5,2004,340000
22,2,104,5,1988,415000
19,2,102,10,2001,330000
24,3,124,3,1996,370000
1,2,90,3,1977,358000
24,2,91,9,1986,373000
17,2,93,10,2011,483000
22,3,129,3,1995,580000
5,4,130,10,2001,580000
4,2,100,5,2007,765000
23,3,110,3,2002,830000
13,3,121,3,1997,503000
4,2,84,11,1986,495000
24,4,176,1,1995,715000
13,2,103,5,1997,406500
18,1,84,13,1968,888888.88
23,2,81,3,1973,420000
19,3,110,3,2001,468000
0,2,93,9,1981,425000
1,1,82,9,1985,373000
7,1,67,9,1984,485000
24,2,100,5,1997,380000
7,1,70,3,1984,510000
24,3,123,12,1976,388000
2,2,103,5,1992,580000
11,3,142,6,1984,686000
18,1,65,3,1976,328000
6,2,104,5,1988,700000
17,3,110,3,2003,440000
4,1,60,5,2002,445000
21,3,120,3,1997,560000
16,4,147,1,1993,512000
25,2,83,11,1987,365000
16,3,128,3,1996,455000
10,1,59,3,1977,301000
13,1,74,5,1984,402000
11,4,149,4,1990,680000
14,1,65,3,1974,306000
22,1,73,5,1984,378000
22,2,105,5,1993,415000
17,3,114,10,2004,565000
22,2,102,5,1984,410000
1,4,143,4,1987,600000
24,2,102,5,1999,414000
1,2,111,5,1984,438888
1,2,91,9,1978,458000
13,2,90,5,2002,355000
25,2,103,5,1987,400000
0,2,91,9,1980,428000
13,3,110,10,2008,495000
16,3,128,3,1996,540000
23,1,76,3,1982,355000
13,3,134,5,1985,505000
8,3,117,3,1999,450000
7,2,95,14,2011,885000
0,1,67,9,1979,328000
3,4,152,4,1986,728000
24,3,110,3,2001,405000
1,1,59,3,1978,267000
20,2,95,10,2004,418000
23,1,74,5,1984,410000
24,3,126,10,2000,498088
11,2,98,5,1997,425000
22,2,89,11,1986,442000
1,2,97,9,1982,420000
22,2,104,5,1989,410000
22,4,146,4,1988,696000
1,2,92,5,2006,583000
22,1,67,9,1985,320000
19,3,118,10,2001,420000
11,2,106,5,1992,475000
11,2,84,11,1987,350000
17,2,93,10,2005,450000
21,1,60,3,1985,323000
20,4,131,1,2000,608000
21,1,71,9,1985,380000
23,2,82,3,1976,403000
23,1,65,3,1972,306000
6,1,64,11,1989,430000
20,4,134,10,2001,588888
1,2,91,9,1978,446000
8,2,104,5,1995,330000
9,3,110,3,2002,838000
20,3,116,3,1999,505000
21,2,83,11,1987,330000
24,3,121,3,2000,440000
3,2,89,11,1988,350000
8,2,90,5,2002,363000
24,2,100,5,1996,390000
21,1,64,3,1978,330000
10,2,102,5,1998,678000
4,3,110,3,2003,875000
25,2,98,9,1985,465000
13,3,110,10,2008,475000
11,2,95,9,1984,413000
12,1,74,5,1986,350000
25,2,84,11,1987,350000
25,2,104,5,1988,383000
13,2,108,5,1988,360000
8,3,110,3,2002,395000
16,4,147,1,1995,640000
20,4,127,1,2002,550000
10,1,66,3,1982,298000
20,3,110,3,2000,549000
20,3,110,3,2001,505000
14,2,100,5,1998,600000
17,3,112,10,2005,530000
24,3,121,3,1998,420000
22,3,121,3,1984,605000
21,3,140,0,1985,518000
22,4,148,1,1995,670000
9,3,113,3,2013,880000
25,1,67,9,1985,315000
24,2,91,7,1997,307000
4,2,103,5,1985,590000
11,2,103,5,1992,480000
13,2,90,5,2002,403000
4,3,117,3,1977,660000
5,1,73,5,1988,282000
22,3,122,3,1988,568888
